County,Legal Name,Trade Name,Postal Code,Country,Account Code,License Type,Expiration Date,Address & Lat/Long
YORK,TWO FARMS INC,ROYAL FARMS # 122,17402-4953,US,67**3584,Cig/OTP Retail,02/28/2022,"2605 S QUEEN ST
YORK, PA 17402-4953
(39.91073, -76.681911)"
BUCKS,LUCKY FIVE INC,RUGERS BEER AND SODA,19056-3006,US,09**9039,Cig/OTP Retail,02/28/2022,"4369 NEW FALLS RD
LEVITTOWN, PA 19056-3006
(40.135342, -74.883108)"
MONTGOMERY,KAYS CIGAR SENSATIONS,KESWICK AVE,19038-4821,US,46**9874,OTP Retail,02/28/2022,"280 N KESWICK AVE
GLENSIDE, PA 19038-4821
(40.105893, -75.147084)"
FAYETTE,DAMICO WHOLESALE LLC,DAMICO CASH AND CARRY,15431,US,26**7367,OTP Retail,02/28/2022,"479 FERGUSON ROAD
DUNBAR, PA 15431
(39.964717, -79.617158)"
WASHINGTON,ANTHONY ZENNER,KEYSTONE CLUB,15301,US,63**7782,Vending,02/28/2022,"2175 MAIN STREET
WASHINGTON, PA 15301"
WASHINGTON,TRI STATE PETROLEUM CORPORATION,TSP 211,15301-8910,US,70**1009,Cig/OTP Retail,02/28/2022,"EXXON WENDYS 211
WASHINGTON, PA 15301-8910"
MONTGOMERY,TWO FARMS INC,ROYAL FARMS #132,19446,US,46**8905,OTP Retail,02/28/2022,"1780 SUMNEYTOWN PIKE
KULPSVILLE, PA 19446
(40.246109, -75.342355)"
BLAIR,CHAD BARNES,SOCIAL VICES,16625,US,07**2627,Cig/OTP Retail,02/28/2022,"12848 DUNNINGS HIGHWAY
CLAYSBURG, PA 16625
(40.282626, -78.45792)"
LANCASTER,PBRIGHT TEKLU,45 NEW DORWART ST,17603,US,36**2928,Cig/OTP Retail,02/28/2022,"45 NEW DORWART ST
LANCASTER, PA 17603
(40.033739, -76.314134)"
ALLEGHENY,TRI STATE PETROLEUM CORPORATION,TSP 221,15084-1511,US,70**1017,Cig/OTP Retail,02/28/2022,"100 E 7TH AVE
TARENTUM, PA 15084-1511
(40.60201, -79.756871)"
LACKAWANNA,HUGO VENDING,RENEGADES,18445,US,35**7799,Vending,02/28/2022,"MAIN STREET
NEWFOUNDLAND, PA 18445"
ERIE,COUNTRY FAIR INC,COUNTRY FAIR INC #73,16505,US,70**8118,Cig/OTP Retail,02/28/2022,"2841 WEST 12TH & PENN
ERIE, PA 16505"
CHESTER,US TRUCK STOP LLC,US TRUCK STOP LLC,19344,US,15**7667,OTP Retail,02/28/2022,"3800 HORSESHOE PIKE
HONEY BROOK, PA 19344
(40.088197, -75.902033)"
PHILADELPHIA,"1 STOP DELI & GROCERY, INC",1 STOP DELI & GROCERY,19140,US,51**9486,OTP Retail,02/28/2022,"3701 GERMANTOWN AVE
PHILADELPHIA, PA 19140
(40.009359, -75.150846)"
PHILADELPHIA,4162 K & P INC,4162  K & P INC,19140-2206,US,51**3230,Cig/OTP Retail,02/28/2022,"4162 N DARIEN ST
PHILADELPHIA, PA 19140-2206
(40.015573, -75.140609)"
DELAWARE,RAMON ESPINAL,SUPER ESPINAL GROCERY,19023-2514,US,23**8275,Cig/OTP Retail,02/28/2022,"522 MAIN ST
DARBY, PA 19023-2514
(39.917675, -75.255137)"
WASHINGTON,ANTHONY ZENNER,ITALIA UNITA CLUB,15022,US,63**7782,Vending,02/28/2022,"514 8TH ST
CHARLEROI, PA 15022
(40.139868, -79.902932)"
DAUPHIN,NATIONAL NOVELTY CO INC,MILLERSBURGER HOTEL,17061,US,22**6028,Vending,02/28/2022,"S MARKET SQUARE
MILLERSBURG, PA 17061"
PHILADELPHIA,AMAN FOOD MARKET INC,AMAN FOOD MARKET INC,19134,US,51**2962,Cig/OTP Retail,02/28/2022,"845 E ALLEGHENY AVE
PHILADELPHIA, PA 19134
(39.996594, -75.114239)"
BERKS,SABOR VAPORS LLC,SABOR VAPORS LLC,19526,US,06**0124,OTP Manufacturer,02/28/2022,"41 SOUTH 4TH ST
HAMBURG, PA 19526
(40.554263, -75.98201)"
PHILADELPHIA,F & E CONVENIENCE STORE INC,F & E CONVENIENCE STORE INC,19134,US,51**3935,Cig/OTP Retail,02/28/2022,"100 E ALLEGHENY AVE
PHILADELPHIA, PA 19134
(39.998533, -75.129114)"
BERKS,ALY ROSE INC,OLEY BEER MART,19547-8859,US,06**1554,Retail,02/28/2022,"673 OLD STATE RD
OLEY, PA 19547-8859
(40.386575, -75.796502)"
WESTMORELAND,DAVE MEDRED,CLIFFS EDGE,16226,US,65**3736,Vending,02/28/2022,"501 4TH AVENUE
FORD CITY, PA 16226
(40.765072, -79.536242)"
ARMSTRONG,BRANDY INC,SPRANKLES NEIGHBORHOOD MARKET,15656-1215,US,03**4900,Cig/OTP Retail,02/28/2022,"117 3RD ST
LEECHBURG, PA 15656-1215
(40.627633, -79.607524)"
FAYETTE,IACOBONI INC,VALS DISTRIBUTING,15012-1948,US,26**7830,Cig/OTP Retail,02/28/2022,"1025 ROSTRAVER RD
BELLE VERNON, PA 15012-1948
(40.141768, -79.841583)"
DAUPHIN,ASHADEEP INCORPORATED,SUNOCO APLUS,17104-1231,US,22**9262,Cig/OTP Retail,02/28/2022,"1700 DERRY ST
HARRISBURG, PA 17104-1231
(40.262177, -76.862105)"
FAYETTE,HERBERT VARGO JR,VARGOS NEWSSTAND,15438,US,26**4010,Retail,02/28/2022,"222 MAIN ST
FAYETTE CITY, PA 15438
(40.10033, -79.840076)"
PHILADELPHIA,SUNBEAM ENTERPRISES INC,SUNOCO A PLUS,19150-1003,US,51**0163,Retail,02/28/2022,"3200 W CHELTENHAM AVE
PHILADELPHIA, PA 19150-1003
(40.082, -75.172047)"
BERKS,NEW 5TH & SPRUCE FOOD MARKET LLC,NEW 5TH & SPRUCE FOOD MARKET LLC,19602,US,06**1919,Cig/OTP Retail,02/28/2022,"246 S 5TH ST
READING, PA 19602
(40.330793, -75.928041)"
MONROE,PRW BEVERAGE LLC,PRW BEVERAGE LLC,18610,US,45**3439,Retail,02/28/2022,"1466 PA-940
BLAKESLEE, PA 18610"
PHILADELPHIA,EDILIO VARGAS,VARGAS GROCERY,19121,US,51**7611,Retail,02/28/2022,"1800 N 31ST STREET
PHILADELPHIA, PA 19121
(39.983804, -75.184762)"
YORK,COLLETTI INC,BREWERS OUTLET,17403-1614,US,67**4514,Cig/OTP Retail,02/28/2022,"409 E PHILADELPHIA ST
YORK, PA 17403-1614
(39.967052, -76.719299)"
SOMERSET,ALAM ENTERPRISES LLC,ALAM ENTERPRISES LLC,15557,US,56**8424,Retail,02/28/2022,"2759 SCULTON ROAD
ROCKWOOD, PA 15557
(39.937548, -79.238395)"
PHILADELPHIA,NEW LIFE GROCERY LLC,NEW LIFE GROCERY LLC,19120,US,51**0922,OTP Retail,02/28/2022,"5882 N 7TH STREET
PHILADELPHIA, PA 19120
(40.041794, -75.133089)"
LACKAWANNA,SMOKIN JOES QUALITY MEATS & DELI INCORPO,SMOKIN JOES QUALITY MEATS & DELI IN,18436-3240,US,35**8318,Cig/OTP Retail,02/28/2022,"1330 MT COBB ROAD
JEFFERSON TOWNSHIP, PA 18436-3240
(41.413544, -75.492495)"
ALLEGHENY,EXTRA EXTRA NEWS & VARIETY II LLC,EXTRA EXTRA NEWS & VARIETY II,15219,US,02**3966,Retail,02/28/2022,"413 7TH AVENUE
PITTSBURGH, PA 15219
(40.442629, -79.996274)"
HUNTINGDON,PURE EVENTS LP,LAKE RAYSTOWN RESORT,16638,US,31**6739,Cig/OTP Retail,02/28/2022,"3101 CHIPMUNK CROSSING
ENTRIKEN, PA 16638"
PHILADELPHIA,MARILEYDA SPORT QZ CO,MARILEYDA SPORT QZ CO,19142,US,51**3923,Retail,02/28/2022,"6600 PASCHALL AVENUE
PHILADELPHIA, PA 19142
(39.923605, -75.234496)"
MONTGOMERY,BONIFACE CHONG,7 ELEVEN 11337G 1408,19038-7937,US,70**0224,Cig/OTP Retail,02/28/2022,"1003 E WILLOW GROVE AVE
GLENSIDE, PA 19038-7937
(40.083305, -75.187914)"
PHILADELPHIA,CARMEN SOLANO,SOLANO SUPERMARKET,19125,US,51**1184,Cig/OTP Retail,02/28/2022,"2631 JASPER ST
PHILADELPHIA, PA 19125
(39.98819, -75.125536)"
BUCKS,W TRENTON HOLDING OF PA LLC,W TRENTON HOLDING OF PA LLC,19067,US,09**3916,Cig/OTP Retail,02/28/2022,"907 W TRENTON AVE
MORRISVILLE, PA 19067
(40.208018, -74.801808)"
FAYETTE,RBS VENTURE INC,NEW SALEM MINI MART,15468,US,26**6776,Cig/OTP Retail,02/28/2022,"88 WEST MAIN ST
NEW SALEM, PA 15468
(39.927316, -79.840388)"
FAYETTE,L & JS SPORTS BAR INC,GOAL POST,15436,US,26**3169,Retail,02/28/2022,"89 NORTH MORGANTOWN ST
FAIRCHANCE, PA 15436
(39.825998, -79.753602)"
BUCKS,RUPEN PARIKH,7-ELEVEN STORE 2408-11375F,19020-1782,US,09**2726,Cig/OTP Retail,02/28/2022,"5401 NESHAMINY BLVD
BENSALEM, PA 19020-1782
(40.145217, -74.934741)"
PHILADELPHIA,"SWEET SUNNAH, LLC.",SUAAD ISLAMIC FASHION PLACE,19133-1724,US,51**6868,Cig/OTP Retail,02/28/2022,"2718 GERMANTOWN AVE
PHILADELPHIA, PA 19133-1724
(39.993605, -75.147756)"
LEHIGH,LA PLACITA SUPERMARKET INC,LA PLACITA SUPERMARKET INC,18102,US,39**5615,Retail,02/28/2022,"517 GORDON ST
ALLENTOWN, PA 18102
(40.608696, -75.471198)"
CHESTER,US TRUCK STOP LLC,US TRUCK STOP,19344,US,15**7638,Retail,02/28/2022,"3800 HORSESHOE PIKE
HONEY BROOK, PA 19344
(40.088197, -75.902033)"
DAUPHIN,LAXMINARAYAN INC,SUNOCO A PLUS,17112-2616,US,22**9787,Cig/OTP Retail,02/28/2022,"116 N MOUNTAIN RD
HARRISBURG, PA 17112-2616
(40.323956, -76.790317)"
PHILADELPHIA,SANJAY PATEL,YOGI NEWSSTAND,19030,US,51**3298,Retail,02/28/2022,"211 CHILTON CT
FAIRLESS HILLS, PA 19030
(40.170646, -74.853396)"
BLAIR,BETHEL NOVELTY & GIFT INC,ADULT WORLD,16635,US,07**1722,Cig/OTP Retail,02/28/2022,"175 OLD ROUTE 22
DUNCANSVILLE, PA 16635
(40.420936, -78.441922)"
DAUPHIN,REVATIJI INCORPORATED,A PLUS SUNOCO,17103-1007,US,22**9263,Cig/OTP Retail,02/28/2022,"1101 N CAMERON ST
HARRISBURG, PA 17103-1007
(40.272787, -76.877445)"
PHILADELPHIA,FELIX SUPERMARKET II INC,FELIX SUPERMARKET II INC,19145,US,51**9183,Retail,02/28/2022,"1638 S 23RD ST
PHILADELPHIA, PA 19145
(39.93126, -75.183319)"
BUCKS,LAHOUSSINE SAADANI,7-ELEVEN STORE 2405-11358B,19020,US,09**5913,OTP Retail,02/28/2022,"3508 STREET ROAD
BENSALEM TWP, PA 19020
(40.122006, -74.96238)"
PHILADELPHIA,HARI OM 2015 INC.,7-ELEVEN STORE 2408-11357E,19154,US,51**9601,Cig/OTP Retail,02/28/2022,"3224 BYBERRY RD.
PHILADELPHIA, PA 19154
(40.096154, -74.976868)"
LANCASTER,M & S DELI GROCERY INC,M & S DELI GROCERY INC,17602,US,36**3946,Cig/OTP Retail,02/28/2022,"567 S LIME ST
LANCASTER, PA 17602
(40.033955, -76.296533)"
ALLEGHENY,MEHTA BEVERAGES LLC,2310 8TH AVE BEAVER FALLS,15010,US,02**1688,Cig/OTP Retail,02/28/2022,"2310 8TH AVE
BEAVER FALLS, PA 15010
(40.763493, -80.320663)"
FAYETTE,JACKSON FARMS 2 LLC,JACKSON FARMS,15468-1202,US,26**2210,Cig/OTP Retail,02/28/2022,"6718 NATIONAL PIKE
NEW SALEM, PA 15468-1202
(39.973186, -79.825385)"
WESTMORELAND,DAVE MEDRED,TEL STAR INN,15068,US,65**3736,Vending,02/28/2022,"2555 7TH STREET
NEW KENSINGTON, PA 15068
(40.569116, -79.730894)"
LACKAWANNA,DELI GIRLZ LLC,DELI GIRLZ LLC,18411,US,35**3930,OTP Retail,02/28/2022,"1309 WINOLA ROAD
CLARKS SUMMIT, PA 18411
(41.483059, -75.764678)"
LACKAWANNA,DELI GIRLZ LLC,DELI GIRLZ LLC,18411-9445,US,35**8154,Retail,02/28/2022,"1309 WINOLA RD
CLARKS SUMMIT, PA 18411-9445
(41.483059, -75.764678)"
BUCKS,ROAM INC,RON FARBER SUNOCO,18966-3807,US,09**1501,Cig/OTP Retail,02/28/2022,"20 SECOND STREET PIKE
SOUTHAMPTON, PA 18966-3807
(40.158475, -75.048606)"
WASHINGTON,ANTHONY ZENNER,NAOMI CLUB,15438,US,63**7782,Vending,02/28/2022,"RR1 334 NAOMI ROAD
FAYETTE CITY, PA 15438"
BEAVER,PHILS TAVERN OF KOPPEL LLC,PHILS TAVERN OF KOPPEL LLC,16136,US,04**8656,Cig/OTP Retail,02/28/2022,"5340 5TH AVE
KOPPEL, PA 16136
(40.835774, -80.322959)"
PHILADELPHIA,GONZALEZ DELI GROCERY INC,GONZALEZ DELI GROCERY INC,19120,US,51**9932,Cig/OTP Retail,02/28/2022,"556 E WYOMING AVE
PHILADELPHIA, PA 19120
(40.020344, -75.114594)"
ERIE,KAMINI PATEL,SAMMYS FOOD MART & DELI,16502,US,25**1400,Cig/OTP Retail,02/28/2022,"717 LIBERTY STREET
ERIE, PA 16502
(42.121673, -80.101165)"
BLAIR,PETE BEARS CUDDLE PUDDLE LLC,PETE BEARS CUDDLE PUDDLE LLC,16602,US,07**3932,OTP Retail,02/28/2022,"1625 E PLEASANT VALLEY BLVD
ALTOONA, PA 16602
(40.53771, -78.356755)"
PHILADELPHIA,DIAN JIANG,ELI RESTAURANT,19132,US,51**8787,Retail,02/28/2022,"2262 NORTH BROAD STREET
PHILADELPHIA, PA 19132
(39.987785, -75.155892)"
YORK,CHR CORP,RUTTERS FARM STORE #4,17368-9350,US,70**9003,Cig/OTP Retail,02/28/2022,"201 COOL SPRINGS RD
WRIGHTSVILLE, PA 17368-9350
(40.025292, -76.54287)"
ELK,DELULLOS CAR WASH & MARKET INC,DELULLOS CAR WASH & MARKET INC,15857-1430,US,24**0446,Cig/OTP Retail,02/28/2022,"19 JOHN ST
SAINT MARYS, PA 15857-1430
(41.430025, -78.55175)"
PHILADELPHIA,NOLASAN FOOD MARKET INC,NOLASAN FOOD MARKET INC,19132,US,51**8688,Retail,02/28/2022,"2565 N 30TH ST
PHILADELPHIA, PA 19132
(39.995612, -75.180539)"
PHILADELPHIA,KL 5527 INC,KL 5527 INC,19143,US,51**3941,Cig/OTP Retail,02/28/2022,"5527 BALTIMORE AVE
PHILADELPHIA, PA 19143
(39.947148, -75.23439)"
LEHIGH,AYDA MEMARY,7 ELEVEN STORE 17073A,18052-6205,US,70**0308,Cig/OTP Retail,02/28/2022,"193 MICKLEY RD
WHITEHALL, PA 18052-6205
(40.620833, -75.483027)"
WASHINGTON,BARTOLOTTOS MARKET,BARTOLOTTOS MARKET,15329,US,63**3310,OTP Retail,02/28/2022,"4554 PROSPERITY PIKE
PROSPERITY, PA 15329
(40.046423, -80.292902)"
DELAWARE,FAWWAZ MOHAMED,EAGLE SAVE MART,19013,US,23**7131,Retail,02/28/2022,"916 KERLIN ST
CHESTER, PA 19013
(39.848904, -75.371817)"
PHILADELPHIA,LJ FOOD CORP,LJ FOOD CORP,19132,US,51**3927,Retail,02/28/2022,"2201 W LEHIGH AVE
PHILADELPHIA, PA 19132
(39.995646, -75.1677)"
LACKAWANNA,FILL AND FLY OF LAKE ARIEL LLC,FILL AND FLY OF LAKE ARIEL LLC,18436,US,35**8288,Retail,02/28/2022,"950 LINE ROAD
LAKE ARIEL, PA 18436
(41.405649, -75.506329)"
PHILADELPHIA,SNACKZ APP LLC,GRANT AVE,19115,US,51**3925,OTP Retail,02/28/2022,"2128 GRANT AVE
PHILADELPHIA, PA 19115
(40.082009, -75.030847)"
UNION,WICKED STIX VAPE LLC,WICKED STIX VAPE LLC,17837-1500,US,60**3378,OTP Retail,02/28/2022,"216 MARKET ST
LEWISBURG, PA 17837-1500
(40.964822, -76.884078)"
MONTGOMERY,LEE SS INC,LEE SS INC,19473-2402,US,46**1180,Cig/OTP Retail,02/28/2022,"4278 TOWNSHIP LINE RD
SCHWENKSVILLE, PA 19473-2402
(40.230072, -75.392181)"
UNION,"RONALD HARTMAN, JR",FOREST HILL STORE,17844-9639,US,60**2536,Cig/OTP Retail,02/28/2022,"8750 BUFFALO RD
MIFFLINBURG, PA 17844-9639
(40.974599, -77.048957)"
PHILADELPHIA,"SWEET SUNNAH, LLC.",SWEET SUNNAH LLC,19133-1724,US,51**7345,Cig/OTP Retail,02/28/2022,"2714 GERMANTOWN AVE
PHILADELPHIA, PA 19133-1724
(39.993515, -75.147781)"
PHILADELPHIA,16 & NEDRO GROCERY STORE INC,16 & NEDRO GROCERY STORE INC,19141,US,51**3226,OTP Retail,02/28/2022,"1601 W NEDRO AVE
PHILADELPHIA, PA 19141
(40.043335, -75.147242)"
PHILADELPHIA,FAMILIA MANZANILLO GROCERY INC,FAMILIA MANZANILLO GROCERY INC,19140,US,51**2886,Retail,02/28/2022,"4655 N 5TH STREET
PHILADELPHIA, PA 19140
(40.022427, -75.133571)"
PHILADELPHIA,LEES ROXIE FOOD MARKET INC,LEES ROXIE FOOD MARKET INC,19150,US,51**3765,Retail,02/28/2022,"8315 STENTON AVE
PHILADELPHIA, PA 19150
(40.06924, -75.182327)"
WASHINGTON,BARTOLOTTOS MARKET,BARTOLOTTOS MARKET,15329,US,63**2857,Retail,02/28/2022,"4554 PROSPERITY PIKE
PROSPERITY, PA 15329
(40.046423, -80.292902)"
LUZERNE,SHICKSHINNY BEER & DELI INC,SHICKSHINNY BEER  DELI INC,18655,US,40**4177,Retail,02/28/2022,"7 WEST UNION ST.
SHICKSHINNY, PA 18655
(41.153209, -76.150516)"
ALLEGHENY,"MARYS G-STORE, LLC",MARYS G-STORE,15106,US,02**1059,Retail,02/28/2022,"200 3RD ST
CARNEGIE, PA 15106
(40.403067, -80.089425)"
WESTMORELAND,STOP 22 INC,STOP 22,15668-1808,US,65**6324,Cig/OTP Retail,02/28/2022,"4180 WILLIAM PENN HWY
MURRYSVILLE, PA 15668-1808
(40.427505, -79.686731)"
LUZERNE,SUPERIOR AMUSEMENTS & VENDING INC,SUPERIOR AMUSEMENTS & VENDING INC,18702-4414,US,40**1555,Wholesale,02/28/2022,"333 N PENNSYLVANIA AVE
WILKES BARRE, PA 18702-4414
(41.247364, -75.87266)"
COLUMBIA,STYA SAI BLOOMS LLC,STYA SAI BLOOMS LLC,17815,US,19**0744,Cig/OTP Retail,02/28/2022,"510 W MAIN ST
BLOOMSBURG, PA 17815
(40.999502, -76.464882)"
CHESTER,NEILS REAL DEAL SMOKE SHOP INC,NEILS REAL DEAL SMOKE SHOP,19475,US,15**3942,Cig/OTP Retail,02/28/2022,"105 NORTH MAIN ST
SPRINGCITY, PA 19475
(40.179838, -75.547639)"
WESTMORELAND,DAVE MEDRED,WAREHOUSE BAR,15801,US,65**3736,Vending,02/28/2022,"5356 ROCKTON ROAD
DUBOIS, PA 15801
(41.113742, -78.732318)"
PHILADELPHIA,P & B FOOD MARKET II INC,P & B FOOD MARKET II INC,19143,US,51**3921,Retail,02/28/2022,"5601 PINE ST
PHILADELPHIA, PA 19143
(39.954545, -75.234352)"
DELAWARE,"SWEET SUNNAH, LLC.",SWEET SUNNAH,19082-2433,US,23**6867,Cig/OTP Retail,02/28/2022,"33 S 69TH ST
UPPER DARBY, PA 19082-2433
(39.960691, -75.258813)"
ALLEGHENY,GLASSMERE FUEL SERVICE INC,GLASSMERE FOOD MART 252,15144,US,02**5599,Cig/OTP Retail,02/28/2022,"3001 PITTSBURGH ST
SPRINGDALE, PA 15144"
TIOGA,MARCUS PIERCE,PIERCES GENERAL STORE,16938-9598,US,59**9315,Cig/OTP Retail,02/28/2022,"2064 ROUTE 287
MORRIS, PA 16938-9598
(41.594994, -77.293253)"
DELAWARE,KING WIRELESS INC,KINGS WIRELESS INC,19079,US,23**3624,Cig/OTP Retail,02/28/2022,"1016 SHARON AVE
SHARON HILL, PA 19079
(39.898866, -75.266246)"
BUCKS,709 HOLDINGS OF PA INC,709 HOLDINGS OF PA INC,19067,US,09**3915,Cig/OTP Retail,02/28/2022,"907 W TRENTON AVE
MORRISVILLE, PA 19067
(40.208018, -74.801808)"
LEHIGH,DORNEYVILLE BEVERAGE LLC,DORNEYVILLE BEVERAGE LLC,18103-4536,US,39**2464,Retail,02/28/2022,"3339 HAMILTON BLVD
ALLENTOWN, PA 18103-4536
(40.578532, -75.524681)"
PHILADELPHIA,FAMILIA MANZANILLO GROCERY INC,FAMILIA MANZANILLO GROCERY INC,19140,US,51**3222,OTP Retail,02/28/2022,"4655 N 5TH STREET
PHILADELPHIA, PA 19140
(40.022427, -75.133571)"
YORK,BAMMAN INC,1,17363,US,67**0148,OTP Retail,02/28/2022,"62 N MAIN ST
STEWARTSTOWN, PA 17363
(39.759414, -76.591041)"
BUTLER,SLATERS MEATS AND MORE LLC,SLATERS MEATS AND MORE,16041,US,10**0490,Retail,02/28/2022,"113 HINDMAN RD
KARNS CITY, PA 16041
(41.022506, -79.812248)"
PHILADELPHIA,DOLLAR UP MINI MARKET INC,DOLLAR UP MINI MARKET INC,19120,US,51**3554,Cig/OTP Retail,02/28/2022,"5545 N 5TH ST
PHILADELPHIA, PA 19120
(40.03602, -75.130598)"
PHILADELPHIA,COURTLAND GROCERY INC,COURTLAND GROCERY INC,19140,US,51**9636,Cig/OTP Retail,02/28/2022,"1501 W COURTLAND ST
PHILADELPHIA, PA 19140
(40.023209, -75.150013)"
FRANKLIN,MARIE REGISTE,MANMANYO MINI MARKET,17201,US,28**3811,Vending,02/28/2022,"116 LINCOLN WAY WEST
CHAMBERSBURG, PA 17201
(39.937858, -77.663961)"
BUCKS,NOMAN INC,1,19020,US,09**3909,Retail,02/28/2022,"1947 STREET ROAD
BENSALEN, PA 19020
(40.09705, -74.945786)"
PHILADELPHIA,KHADIJA MAGUERI,FAMILY FOOD MARKET,19124,US,51**7738,Cig/OTP Retail,02/28/2022,"1601 E ERIE AVE
PHILADELPHIA, PA 19124
(40.005844, -75.096655)"
LUZERNE,SHICKSHINNY BEER & DELI INC,SHICKSHINNY BEER & DELI INC,18655,US,40**8767,OTP Retail,02/28/2022,"7 WEST UNION STREET
LUZERNE, PA 18655
(41.153209, -76.150516)"
WESTMORELAND,TM DISTRIBUTOR LLC,SAM'S POP AND BEER SHOP,15068,US,65**3621,Retail,02/28/2022,"1820 5TH AVE
ARNOLD, PA 15068
(40.579093, -79.768044)"
LUZERNE,IREM TEMPLE A A O N M S,IREM SHRINE,18612,US,40**3938,OTP Retail,02/28/2022,"70 RIDGWAY DRIVE
DALLAS, PA 18612
(41.357188, -75.975775)"
PHILADELPHIA,NIMOL INC,NIMOL INC,19133-1617,US,51**3241,Retail,02/28/2022,"2604 GERMANTOWN AVE
PHILADELPHIA, PA 19133-1617
(39.991663, -75.148265)"
LACKAWANNA,COOPERS SEA FOOD HOUSE INC,COOPERS SEAFOOD,18509-3219,US,35**2736,Vending,02/28/2022,"701 N WASHINGTON AVE
SCRANTON, PA 18509-3219
(41.413899, -75.657048)"
CARBON,LOCAL FOOD MART INC,LOCAL FOOD MART,18235-9045,US,13**4697,Cig/OTP Retail,02/28/2022,"32 BLAKESLEE BOULEVARD DR E
LEHIGHTON, PA 18235-9045
(40.825507, -75.706067)"
BEAVER,SHIVLER CORNER MARKET,SHIVLERS CORNER MARKET,15001-5797,US,04**3745,Cig/OTP Retail,02/28/2022,"1042 STATE ROUTE 18
ALIQUIPPA, PA 15001-5797
(40.608169, -80.40094)"
LEHIGH,BLUE VALLEY BEVERAGE AND SMOKE LLC,BLUE VALLEY BEVERAGE AND SMOKE LLC,18066,US,39**3843,OTP Retail,02/28/2022,"6890 ROUTE 309
NEW TRIPOLI, PA 18066
(40.685664, -75.74415)"
PHILADELPHIA,E&E 1 CONVENIENCE LLC,E & E 1 CONVENIENCE,19135,US,51**3218,Cig/OTP Retail,02/28/2022,"7014 FRANKFORD AVE
PHILADELPHIA, PA 19135
(40.03383, -75.046451)"
NORTHAMPTON,EAST BANGOR VOL FIRE CO,EAST BANGOR VOLUNTEER FIRE COMPANY,18013-2106,US,48**3179,Retail,02/28/2022,"30 EAST CENTRAL AVE
EAST BANGOR, PA 18013-2106
(40.879576, -75.182642)"
WESTMORELAND,DAVE MEDRED,ADAMS BROS VENDING,15068,US,65**3736,Vending,02/28/2022,"2555 7TH STREET
NEW KENSINGTON, PA 15068
(40.569116, -79.730894)"
PHILADELPHIA,TOBACCIANA INC,1 STOP SMOKE SHOP,19116-3613,US,51**3301,Cig/OTP Retail,02/28/2022,"10103 VERREE RD C
PHILADELPHIA, PA 19116-3613
(40.106512, -75.030061)"
PHILADELPHIA,PNK INCORPORATED,PNK INCORPORATED,19140,US,51**1879,Wholesale,02/28/2022,"4313-39 RISING SUN AVE
PHILADELPHIA, PA 19140
(40.016629, -75.128805)"
LEHIGH,WERLEY'S MARKET INC,WERLEY'S MARKET,18069,US,39**3948,Cig/OTP Retail,02/28/2022,"2205 VILLAGE ROAD
OREFIELD, PA 18069
(40.619507, -75.58246)"
BERKS,ANNY BATISTA DE REYES,MINERVA AND ELY GROCERY STORE,19604,US,06**3913,Cig/OTP Retail,02/28/2022,"1400 NORTH 11TH ST
READING, PA 19604
(40.356295, -75.915588)"
UNKNOWN/OUT OF STATE,BJS WHOLESALE CLUB INC,BJS WHOLESALE CLUB INC,08016-2137,US,00**2118,Wholesale,02/28/2022,"309 DULTYS LN
BURLINGTON, NJ 08016-2137
(40.095714, -74.82629)"
LACKAWANNA,TWENTY TWENTY FAMILY GROCERY,GROCERY STORE,18505-2269,US,35**3926,Retail,02/28/2022,"62 ELMHURST BLVD
SCRANTON, PA 18505-2269
(41.400698, -75.630807)"
UNKNOWN/OUT OF STATE,SOUTH COAST VAPOR COMPANY DBA YOU GOT,SOUTH COAST VAPOR,92081,US,99**8360,OTP Wholesale,02/28/2022,"1485 POINSETTIA AVE, UNIT 112
VISTA, CA 92081
(33.135501, -117.224554)"
LYCOMING,JAY MA LAXMI LLC,JAY MA LAXMI LLC,17737,US,41**8530,Retail,02/28/2022,"1 MAIN ST
HUGHESVILLE, PA 17737"
DELAWARE,YEON KIM,H & J MARKET,19082,US,23**1665,Cig/OTP Retail,02/28/2022,"6934 MARKET ST
UPPER DARBY, PA 19082
(39.961772, -75.260012)"
MONTGOMERY,BLUE MOON DELI & GROCERY INC,BLUE MOON DELI & GROCERY INC,19464,US,46**9465,Cig/OTP Retail,02/28/2022,"447 HIGH STREERT
POTTSTOWN, PA 19464
(40.244687, -75.642622)"
MERCER,"DETOLLA'S MICRO BREWS & MORE, LLC",M & M BEVERAGE,16148,US,43**6934,Cig/OTP Retail,02/28/2022,"2473 EAST STATE ST
HERMITAGE, PA 16148
(41.233392, -80.462574)"
ERIE,1029 PARADE STREET INC,1029 PARADE INC,16503,US,25**0611,Cig/OTP Retail,02/28/2022,"1031 PARADE STREET
ERIE, PA 16503
(42.127838, -80.073428)"
WESTMORELAND,AMD FUEL COMPANY LLC,WENDELL ROAD VALERO,15642,US,65**1952,Cig/OTP Retail,02/28/2022,"171 WENDEL RD
IRWIN, PA 15642
(40.282455, -79.693013)"
PHILADELPHIA,VANNY CHAN,FRESH N FANCY DONUTS,19139,US,51**4023,Cig/OTP Retail,02/28/2022,"5601 MARKET STREET
PHILADELPHIA, PA 19139
(39.961084, -75.232985)"
